City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Beisfjord,NO,68.3751,17.5988,32.0,93,90,6.04,snow
252,Impfondo,CG,1.6381,18.0667,73.04,87,100,7.18,light rain
253,Cascais,PT,38.6979,-9.4215,62.6,63,20,4.61,few clouds
254,Hajnowka,PL,52.7433,23.5812,48.99,53,100,5.23,overcast clouds
255,Alexandria,EG,31.2156,29.9553,64.4,55,40,13.8,scattered clouds
256,Puro,PH,12.4841,123.3827,79.66,82,100,11.27,overcast clouds
257,Awash,ET,8.9833,40.1667,96.37,7,6,15.88,clear sky
258,Coihaique,CL,-45.5752,-72.0662,42.8,81,20,9.22,few clouds
259,Simao,CN,22.7886,100.9748,67.21,38,0,1.72,clear sky
260,Oyon,PE,-10.6681,-76.7731,49.26,70,100,3.42,overcast clouds
261,Las Vegas,US,36.175,-115.1372,57.2,21,1,10.36,clear sky
262,Bethel,US,41.3712,-73.414,54.0,97,98,0.45,overcast clouds
263,Grand Gaube,MU,-20.0064,57.6608,82.99,78,83,1.99,broken clouds
264,Lehututu,BW,-23.9667,21.8667,83.28,22,0,10.49,clear sky
265,Kununurra,AU,-15.7667,128.7333,80.6,94,100,4.61,overcast clouds
266,Chapais,CA,49.7834,-74.8492,42.8,100,90,14.97,overcast clouds
267,Nome,US,64.5011,-165.4064,12.2,85,90,4.03,light snow
268,Bengkulu,ID,-3.8004,102.2655,79.25,82,100,1.39,moderate rain
269,Almaznyy,RU,48.0448,40.045,35.6,93,90,11.18,moderate rain
270,Beringovskiy,RU,63.05,179.3167,-1.14,98,95,1.72,overcast clouds
271,Gewane,ET,10.1664,40.6453,98.06,6,5,11.16,clear sky
272,Avera,US,33.194,-82.5271,64.4,83,1,6.91,clear sky
273,Tirukkoyilur,IN,11.95,79.2,84.69,45,10,12.15,clear sky
274,Pili,PH,13.5833,123.3,75.06,91,75,4.83,broken clouds
275,Atambua,ID,-9.1061,124.8925,75.25,90,100,2.19,overcast clouds
