City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
660,Lundazi,ZM,74.1,light rain,-12.2929,33.1782,"Stones Hotel, Lundazi"
665,Torres,BR,76.1,broken clouds,-29.3353,-49.7269,Farol Hotel
666,Laela,TZ,74.41,scattered clouds,-8.5667,32.05,
668,Gizo,SB,82.69,few clouds,-8.103,156.8419,Imagination Island
672,Bolobo,CD,72.59,light rain,-2.1667,16.2333,Hotel de Stephen
687,Padang,ID,77.0,overcast clouds,-0.9492,100.3543,Mercure Padang
688,Dodoma,TZ,84.2,few clouds,-6.1722,35.7395,Royal Village Hotel
690,Siparia,TT,81.0,overcast clouds,10.1333,-61.5,Brook Gardens
691,Shakawe,BW,84.22,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
698,Weligama,LK,75.27,overcast clouds,5.9667,80.4167,Weligama Bay Resort
699,Waingapu,ID,80.11,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
700,Kralendijk,BQ,82.4,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
701,Imbituba,BR,73.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
704,Kantunilkin,MX,80.6,scattered clouds,21.0917,-87.45,Posada Paraiso
707,Mackay,AU,75.2,scattered clouds,-21.15,149.2,International Lodge Motel
